src,0,-2.488109,-2.4544334,-2.4665606,-0.00060510315,-2.4732647,-2.4715166,-0.0005974091
src,1,-2.488109,-2.4544334,-2.4665606,-0.00060510315,-2.4732647,-2.4715166,-0.0005974091
src,2,-2.488109,-2.4544334,-2.4665606,-0.00060510315,-2.4732647,-2.4715166,-0.0005974091
src,3,-2.488109,-2.4544334,-2.4665606,-0.00060510315,-2.4732647,-2.4715166,-0.0005974091
src,4,-2.488109,-2.4544334,-2.4665606,-0.00060510315,-2.4732647,-2.4715166,-0.0005974091
src,5,-2.488109,-2.4544334,-2.4665606,-0.00060510315,-2.4732647,-2.4715166,-0.0005974091
reward,0,-0.0733904,-0.0733904,-0.0733904,-0.0733904,-0.0733904,-0.0733904,-0.0733904
reward,1,-0.078074895,-0.078074895,-0.078074895,-0.078074895,-0.078074895,-0.078074895,-0.078074895
reward,2,-0.0830584,-0.0830584,-0.0830584,-0.0830584,-0.0830584,-0.0830584,-0.0830584
reward,3,-0.088360004,-0.088360004,-0.088360004,-0.088360004,-0.088360004,-0.088360004,-0.088360004
reward,4,-0.094000004,-0.094000004,-0.094000004,-0.094000004,-0.094000004,-0.094000004,-0.094000004
reward,5,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
addend,0,2.381043,2.381043,2.381043,2.381043,2.381043,2.381043,2.381043
addend,1,2.3934417,2.3934417,2.3934417,2.3934417,2.3934417,2.3934417,2.3934417
addend,2,2.3835022,2.3835022,2.3835022,2.3835022,2.3835022,2.3835022,2.3835022
addend,3,2.3849046,2.3849046,2.3849046,2.3849046,2.3849046,2.3849046,2.3849046
addend,4,2.3775165,2.3775165,2.3775165,2.3775165,2.3775165,2.3775165,2.3775165
addend,5,2.3881092,2.3881092,2.3881092,2.3881092,2.3881092,2.3881092,2.3881092
new_tensor,0,-2.488109,14.212866,-2.4665606,-0.00060510315,-2.4732647,-2.4715166,-0.0005974091
new_tensor,1,-2.488109,-2.4544334,-2.4665606,-0.00060510315,-2.4732647,14.282576,-0.0005974091
new_tensor,2,-2.488109,-2.4544334,14.217955,-0.00060510315,-2.4732647,-2.4715166,-0.0005974091
new_tensor,3,-2.488109,-2.4544334,-2.4665606,-0.00060510315,14.221068,-2.4715166,-0.0005974091
new_tensor,4,-2.488109,-2.4544334,-2.4665606,-0.00060510315,-2.4732647,14.1711,-0.0005974091
new_tensor,5,14.228655,-2.4544334,-2.4665606,-0.00060510315,-2.4732647,-2.4715166,-0.0005974091
